timestamp,experiment_name,config_hash,git_commit,description,plot_filename,run_time_seconds,final_bpb,final_bpb_exact,final_loss,final_size_mb,sliding_bpb,ttt_bpb,max_train_steps,env_RUN_ID,env_DATA_PATH,env_TOKENIZER_PATH,env_VOCAB_SIZE,env_MAX_WALLCLOCK_SECONDS,env_VAL_LOSS_EVERY,env_TRAIN_LOG_EVERY,env_EVAL_STRIDE,env_TRAIN_BATCH_TOKENS,env_TRAIN_SEQ_LEN,env_NUM_LAYERS,env_MLP_MULT,env_MATRIX_LR,env_SCALAR_LR,env_TIED_EMBED_LR,env_BETA2,env_MUON_BACKEND_STEPS,env_MUON_MOMENTUM_WARMUP_STEPS,env_WARMDOWN_ITERS,env_SWA_ENABLED,cmd,env_MULTI_HASH_ENABLED
2026-04-05T10:36:10.943066,experiment_1_more_aggressive,e2bb7eeca593,9d070df,Testing higher learning rate,eval_comparison_20260405_100609.png,884.5,1.4128,1.41280593,2.3855,7.685129,,,1200,experiment_3_more_momentum_warumup_sota,./data/datasets/fineweb10B_sp1024/,./data/tokenizers/fineweb_1024_bpe.model,1024,600,100,50,1024,524288,1024,5,2.0,0.04,0.04,0.06,0.90,3,150,150,0,torchrun --standalone --nproc_per_node=1 records/track_10min_16mb/2026-03-20_10L_Int5MLP_MuonWD04_SWA50/train_gpt.py,
2026-04-05T10:36:11.000328,baseline_10min,90a2fb07f8b5,9d070df,Baseline (Score: ~1.22),eval_comparison_20260405_100609.png,915.8,1.4123,1.41231948,2.3846,11.116903,,,650,baseline_10min,./data/datasets/fineweb10B_sp1024/,./data/tokenizers/fineweb_1024_bpe.model,1024,600,100,50,,,,,,,,,,,,,,torchrun --standalone --nproc_per_node=1 train_gpt.py,
2026-04-05T11:01:05.509525,SOTA_Int5MLP_BigramHash,2ceaa2bab4fb,9d070df,"10L Int5-MLP + BigramHash(10240), SWA(0.4), WD=0.04 (Score: 1.1428)",eval_comparison_20260405_104614.png,890.2,1.3989,1.39893035,2.362,7.699968,,,1200,SOTA_Int5MLP_BigramHash_10min,./data/datasets/fineweb10B_sp1024/,./data/tokenizers/fineweb_1024_bpe.model,1024,600,100,50,1024,524288,1024,5,2.0,0.03,,0.05,0.90,3,300,250,0,torchrun --standalone --nproc_per_node=1 records/track_10min_16mb/2026-03-20_10L_Int5MLP_MuonWD04_SWA50/train_gpt.py,
2026-04-05T12:37:58.907637,SOTA_Int5MLP_BigramHash,c507090762cd,9d070df,"10L Int5-MLP + BigramHash(10240), SWA(0.4), WD=0.04 (Score: 1.1428)",eval_comparison_20260405_113817.png,584.7,1.4785,1.47852574,2.4964,7.633006,,,600,SOTA_Int5MLP_BigramHash_10min,./data/datasets/fineweb10B_sp1024/,./data/tokenizers/fineweb_1024_bpe.model,1024,300,50,25,1024,524288,1024,5,2.0,0.03,,0.05,0.90,3,300,250,0,torchrun --standalone --nproc_per_node=1 records/track_10min_16mb/2026-03-20_10L_Int5MLP_MuonWD04_SWA50/train_gpt.py,
2026-04-05T12:37:58.971527,SOTA_Int5MLP_BigramHash_with_multi_hash,04d273a6ae15,9d070df,"10L Int5-MLP + BigramHash(10240), SWA(0.4), WD=0.04 (Score: 1.1428)",eval_comparison_20260405_113817.png,585.2,1.4768,1.47676788,2.4935,7.632982,,,600,SOTA_Int5MLP_BigramHash_with_multi_hash,./data/datasets/fineweb10B_sp1024/,./data/tokenizers/fineweb_1024_bpe.model,1024,300,50,25,1024,524288,1024,5,2.0,0.03,,0.05,0.90,3,300,250,0,torchrun --standalone --nproc_per_node=1 records/track_10min_16mb/2026-03-20_10L_Int5MLP_MuonWD04_SWA50/train_gpt.py,1
2026-04-05T12:37:59.043750,SOTA_Int5MLP_BigramHash_with_multi_hash_layer6,184e0e20e703,9d070df,"10L Int5-MLP + BigramHash(10240), SWA(0.4), WD=0.04 (Score: 1.1428)",eval_comparison_20260405_113817.png,608.3,1.4866,1.4865959,2.5101,8.749625,,,500,SOTA_Int5MLP_BigramHash_with_multi_hash_layer6,./data/datasets/fineweb10B_sp1024/,./data/tokenizers/fineweb_1024_bpe.model,1024,300,50,25,1024,524288,1024,6,2.0,0.03,,0.05,0.90,3,300,250,0,torchrun --standalone --nproc_per_node=1 records/track_10min_16mb/2026-03-20_10L_Int5MLP_MuonWD04_SWA50/train_gpt.py,1
2026-04-05T12:37:59.148120,SOTA_Int5MLP_BigramHash_with_multi_hash_less_batch_size,8968ef5e46c7,9d070df,"10L Int5-MLP + BigramHash(10240), SWA(0.4), WD=0.04 (Score: 1.1428)",eval_comparison_20260405_113817.png,1184.7,1.4381,1.43814107,2.4282,7.68443,,,2375,SOTA_Int5MLP_BigramHash_with_multi_hash_less_batch_size,./data/datasets/fineweb10B_sp1024/,./data/tokenizers/fineweb_1024_bpe.model,1024,300,50,25,1024,131072,1024,5,2.0,0.03,,0.05,0.90,3,300,250,0,torchrun --standalone --nproc_per_node=1 records/track_10min_16mb/2026-03-20_10L_Int5MLP_MuonWD04_SWA50/train_gpt.py,1
2026-04-05T12:37:59.223269,baseline_10min,cb57172387ac,9d070df,Baseline (Score: ~1.22),eval_comparison_20260405_113817.png,615.1,1.6358,1.6357837,2.762,8.914465,,,325,baseline_10min,./data/datasets/fineweb10B_sp1024/,./data/tokenizers/fineweb_1024_bpe.model,1024,300,50,25,,,,,,,,,,,,,,torchrun --standalone --nproc_per_node=1 train_gpt.py,
2026-04-05T14:59:20.131955,SOTA_Int5MLP_BigramHash_with_without_multi_hash_less_batch_size_1,ca5096a3a949,4190ad6,"10L Int5-MLP + BigramHash(10240), SWA(0.4), WD=0.04 (Score: 1.1428)",eval_comparison_20260405_125330.png,3777.2,1.3972,1.39719459,2.3591,7.580523,,,7925,SOTA_Int5MLP_BigramHash_with_without_multi_hash_less_batch_size_1,./data/datasets/fineweb10B_sp1024/,./data/tokenizers/fineweb_1024_bpe.model,1024,1000,50,25,1024,131072,1024,5,2.0,0.03,,0.05,0.90,3,300,250,0,torchrun --standalone --nproc_per_node=1 records/track_10min_16mb/2026-03-20_10L_Int5MLP_MuonWD04_SWA50/train_gpt.py,
2026-04-05T14:59:20.174634,SOTA_Int5MLP_BigramHash_with_multi_hash_less_batch_size_2,66f2bb9e6024,4190ad6,"10L Int5-MLP + BigramHash(10240), SWA(0.4), WD=0.04 (Score: 1.1428)",eval_comparison_20260405_125330.png,3771.6,1.3938,1.39376279,2.3533,7.589818,,,7925,SOTA_Int5MLP_BigramHash_with_multi_hash_less_batch_size_2,./data/datasets/fineweb10B_sp1024/,./data/tokenizers/fineweb_1024_bpe.model,1024,1000,50,25,1024,131072,1024,5,2.0,0.03,,0.05,0.90,3,300,250,0,torchrun --standalone --nproc_per_node=1 records/track_10min_16mb/2026-03-20_10L_Int5MLP_MuonWD04_SWA50/train_gpt.py,1
